ID,GAGEID_short,Elev_band,AvgWinterTemp,AvgAnnualTemp,PeakSWE,NovTemp,DecTemp,JanTemp,FebTemp,Cluster
12332000_22,12332000,22,-4.328617346,1.784527501,299.7591636,-4.152895165,-8.669031203,-8.044126961,-6.072638654,1
12332000_23,12332000,23,-6.080506628,-0.305657576,425.0010343,-6.204476358,-10.96953309,-10.34989898,-8.574347399,1
12332000_24,12332000,24,-6.637428691,-0.505966143,386.9036543,-6.421497881,-11.23177822,-10.60993445,-8.892449566,1
12358500_13,12358500,13,-3.308252154,3.976265351,319.0999861,-2.30121787,-6.570835544,-6.817127748,-4.620930045,1
12358500_14,12358500,14,-3.012623865,4.227488787,308.4216333,-2.049817716,-6.319854152,-6.576537395,-4.349666774,1
12358500_15,12358500,15,-4.099270808,2.853124914,521.2780067,-3.457744012,-7.684793238,-7.994037288,-5.739842052,1
12358500_16,12358500,16,-4.446113311,2.452945433,634.7842119,-3.828193191,-8.102971159,-8.425514779,-6.098398129,1
12358500_17,12358500,17,-4.543614081,2.310662108,656.9999038,-3.90852086,-8.168537208,-8.476809336,-6.076671442,1
12358500_18,12358500,18,-4.971205418,1.379146272,885.312919,-4.703371313,-8.997903061,-9.388212543,-6.945666384,1
12358500_19,12358500,19,-5.2681418,0.93704374,865.4206364,-5.053863253,-9.394356399,-9.890152355,-7.432106286,1
12358500_20,12358500,20,-5.534459509,0.668052725,884.1462117,-5.297651962,-9.624578621,-10.170041,-7.743571002,1
12358500_21,12358500,21,-5.17679971,0.761038951,820.6862894,-5.025031389,-9.377594997,-10.05319858,-7.619636427,1
12390700_12,12390700,12,-0.75185547,6.580926179,332.2794467,-0.143390778,-4.212540358,-4.05804859,-1.399088343,1.018518519
12390700_13,12390700,13,-1.527812391,5.519226102,458.2536432,-0.937272181,-4.983431681,-4.78740898,-2.316068559,1
12390700_14,12390700,14,-1.683405606,5.104039609,540.465475,-1.217062932,-5.266788471,-5.056505436,-2.663897447,1
12390700_15,12390700,15,-2.935479194,3.25906141,771.2379407,-2.82496071,-6.809013023,-6.535849253,-4.329608235,1
12411000_12,12411000,12,-2.468761609,4.069443316,613.3802093,-1.873057407,-5.932566308,-5.911792234,-3.710037851,1
